 IR64-A009-07-33-05-02_Wildtype,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPEN 6.1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Nov 10 2015 08:07:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/LED2x3.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,R1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,Oxygen%,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
17,10:29:20,21,8736.5,0,31.36550925,0.349482153,791.5664717,5.168674236,1.572917633,29.33047295,3.3,2.012826172,1,4.025652343,27.43909264,29.33047295,26.99497795,998.2504272,968.2070313,20.80869675,24.97167206,57.32418442,68.79242706,399.4905396,2000.209473,11.71429157,101.1709442,-0.004346371,0.181364924,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,1.210577393,0.005168674,302.4804729,300.5890926,320.0335085,0.60449205,4.099325273,40.51880019,15.54712813,28.38478279,3.880801234,0.321565805,2.526407641,1.354393593,0.203313199,80.08352735,0.817559103,63.49960355,957.6886273,0.02079692
18,10:32:57,21,8953.5,0,31.8336013,0.462901042,630.1143007,6.536485419,1.540705403,29.23032379,3.3,2.012826172,1,4.025652343,27.45927048,29.23032379,26.99534988,798.7879639,768.3325195,19.79245377,25.05846786,54.45579529,68.9444046,399.3510132,1999.435913,10.12433529,101.1626587,0.944017887,0.168307215,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,1.210154585,0.006536485,302.3803238,300.6092705,319.9097389,0.093046483,4.075686635,40.28844919,15.22998132,28.34479713,3.87178995,0.415162415,2.534981232,1.336808718,0.263381089,63.74403794,0.820106249,64.95100354,757.6571412,0.02728971
19,10:36:29,21,9166.5,0,30.06738971,0.595778595,466.7759705,8.07990487,1.523742719,29.11528206,3.3,2.012826172,1,4.025652343,27.47630692,29.11528206,26.99472237,599.0883789,570.4355469,18.45088959,24.96059418,50.71123123,68.60279083,399.3751831,1998.934814,9.151550293,101.1569214,1.480944157,0.160286814,1,-0.219565243,2.737391472,1,0,0.159999996,111115,1.210227828,0.008079905,302.2652821,300.6263069,319.8295632,-0.484056814,4.048679582,40.02375247,15.06315829,28.29579449,3.860771465,0.518972917,2.524936863,1.335834602,0.33048249,47.21762015,0.81827995,66.11530756,560.3524665,0.035476148
20,10:40:02,21,9379,0,24.53324592,0.724679969,305.1733457,9.247438168,1.473341252,29.08847809,3.3,2.012826172,1,4.025652343,27.49768829,29.08847809,26.99507904,398.8475342,375.7109375,17.95318604,25.39831161,49.27880478,69.71456146,399.4758301,1998.740356,9.474891663,101.1511459,1.886309147,0.149174601,1,-0.219565243,2.737391472,1,0,0.159999996,111115,1.210532818,0.009247438,302.2384781,300.6476883,319.7984499,-0.925744739,4.042409576,39.96405121,14.5657396,28.29308319,3.860162616,0.614127481,2.569068325,1.291094291,0.39243562,30.86863362,0.812255687,68.06950346,367.4837288,0.04544326
21,10:43:34,21,9591.5,0,11.82952572,0.866759585,157.8084471,10.85780475,1.490179277,28.97164917,3.3,2.012826172,1,4.025652343,27.51356888,28.97164917,26.99522018,199.234314,187.7727509,16.21260262,24.9621048,44.46079636,68.45508575,399.2952271,1998.699097,8.789899826,101.1533432,1.927782536,0.146298319,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,1.209985537,0.010857805,302.1216492,300.6635689,319.7918483,-1.52796243,4.015179631,39.69398839,14.73188359,28.24260902,3.848843417,0.713200934,2.525000354,1.323843064,0.457399325,15.96285201,0.840422513,68.44133405,183.8057268,0.044048057
22,10:47:10,21,9807,0,3.661826575,0.953526256,86.29058275,11.65139566,1.479432892,28.89423752,3.3,2.012826172,1,4.025652343,27.52217293,28.89423752,26.99525833,99.77039337,95.82253265,15.50598526,24.89282417,42.49822235,68.22531891,399.4154663,1999.967773,8.64706707,101.1453018,1.631662846,0.14495936,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,1.210349898,0.011651396,302.0442375,300.6721729,319.9948366,-1.820921224,3.997225106,39.519632,14.62680782,28.20820522,3.841144719,0.770923382,2.517792214,1.323352504,0.495466574,8.727887037,0.900524964,69.08050425,94.5945414,0.026741588
23,10:50:44,21,10021,0,-1.226063817,0.991955061,50.97711551,11.78648195,1.449637678,28.82757378,3.3,2.012826172,1,4.025652343,27.51995277,28.82757378,26.9942112,49.21308136,49.74164963,15.54263306,25.03642654,42.6019249,68.62415314,399.4355774,2000.112671,11.03997993,101.1399078,1.426996708,0.138365656,1,-0.219565243,2.737391472,1,0,0.159999996,111115,1.210410841,0.011786482,301.9775738,300.6699528,320.0180202,-1.865864506,3.981819552,39.36942041,14.33299386,28.17376328,3.833450943,0.79585067,2.532181873,1.30126907,0.511955751,5.155820764,1.024837654,69.81903118,50.15280936,-0.017068353
24,10:54:15,21,10232,0,-4.110323812,1.020305312,29.30459724,11.86373255,1.426573784,28.76882172,3.3,2.012826172,1,4.025652343,27.50605202,28.76882172,26.99608612,18.8617363,22.0414238,15.57694149,25.13177109,42.72879028,68.93844604,399.446167,2000.54126,11.4532814,101.1353912,1.234446049,0.135987192,1,-0.219565243,2.737391472,1,0,0.159999996,111115,1.21044293,0.011863733,301.9188217,300.656052,320.0865944,-1.890291843,3.968285286,39.23735536,14.10558428,28.13743687,3.82535078,0.813997015,2.541711501,1.283639278,0.523978411,2.963731907,1.329523787,70.36591842,23.41981832,-0.123496564
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR64-A009-07-33-05-04_Wildtype,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPEN 6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Nov 10 2015 08:14:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/LED2x3.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,R1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
